Instance,Year of Record,Age,Size of City,Wears Glasses,Body Height [cm]
71,2019.0,38.0,1824089,1,159
72,2008.0,66.0,257879,0,175
73,2018.0,36.0,744892,0,203
75,1996.0,24.0,399311,0,161
76,2011.0,40.0,83755,1,161
77,2008.0,44.0,90447,1,224
78,1998.0,46.0,1862930,1,158
82,1990.0,24.0,20811,1,168
83,1993.0,29.0,390020,1,164
84,2000.0,24.0,1309980,1,190
85,2008.0,24.0,17701,1,178
86,2006.0,31.0,1470016,0,160
87,2003.0,18.0,579073,1,172
89,2006.0,64.0,858855,1,178
90,1995.0,37.0,47753063,1,196
92,1990.0,35.0,29469,0,179
93,1988.0,51.0,334869,0,150
94,2015.0,60.0,813550,1,180
96,1980.0,21.0,799520,1,210
97,1990.0,53.0,471192,1,170
100,1990.0,66.0,698465,1,191
101,2017.0,14.0,1616523,1,143
102,1988.0,39.0,1297791,0,189
103,1986.0,35.0,46219,1,152
104,2002.0,22.0,6682,1,203
105,2017.0,46.0,78279,1,184
106,2013.0,23.0,14148,1,157
109,1991.0,18.0,1224241,1,205
110,2011.0,16.0,1704455,0,203
111,2017.0,53.0,345854,1,205
112,2000.0,53.0,81505,1,170
113,1991.0,42.0,1973584,0,178
114,1989.0,40.0,652921,0,160
115,1995.0,36.0,396416,1,163
116,2019.0,43.0,63793,1,215
117,1991.0,24.0,2134725,1,189
118,1993.0,40.0,24188,0,167
119,2007.0,19.0,75014,1,201
120,1984.0,58.0,256341,0,163
121,2009.0,17.0,648646,0,191
122,1989.0,41.0,38739,1,179
124,1982.0,43.0,1855345,0,163
127,2009.0,37.0,88566,0,147
128,1999.0,17.0,1253999,1,178
129,2019.0,20.0,1687312,1,153
130,2008.0,34.0,1204738,1,155
133,2003.0,42.0,381074,1,150
134,2015.0,27.0,1910567,1,204
135,2009.0,34.0,1435533,0,177
136,1991.0,64.0,50213,0,151
137,1992.0,22.0,1412880,0,169
139,1990.0,18.0,15565,1,162
140,1986.0,40.0,1671289,0,232
141,1985.0,62.0,55552,0,165
142,2013.0,25.0,989376,0,186
143,1990.0,18.0,19144,1,188
144,2008.0,31.0,1265715,0,167
145,1985.0,37.0,1534665,0,196
146,1991.0,36.0,236973,0,147
147,1995.0,71.0,332618,0,206
148,2017.0,43.0,805128,1,174
149,1983.0,53.0,1250344,0,157
150,1988.0,22.0,120457,1,145
151,1988.0,25.0,68834,0,202
152,2010.0,52.0,255873,1,173
153,2015.0,51.0,2070658,1,170
154,2008.0,15.0,2299171,0,163
155,2005.0,33.0,604260,0,168
157,2002.0,40.0,2771412,0,178
158,1983.0,58.0,1216575,0,159
159,1985.0,16.0,526,1,190
161,2013.0,48.0,1217660,0,183
162,1986.0,41.0,2226887,0,179
163,2013.0,26.0,45419,0,121
164,2015.0,20.0,41806,0,157
165,2003.0,21.0,1813360,0,193
166,2001.0,40.0,97776,1,172
167,1997.0,36.0,137816,1,150
168,1989.0,20.0,1067472,1,166
169,1996.0,27.0,1657798,1,137
170,2004.0,23.0,2769254,0,181
171,1995.0,28.0,509669,0,151
172,1991.0,44.0,64690,1,155
173,2014.0,53.0,480108,1,182
174,2008.0,40.0,875893,0,210
176,1981.0,44.0,25527,1,210
178,1988.0,17.0,83182,0,164
179,1993.0,56.0,531979,1,198
182,1994.0,39.0,1193867,1,213
183,1981.0,31.0,480214,1,180
184,1992.0,38.0,1364852,0,175
185,2006.0,52.0,1355236,1,183
186,1985.0,17.0,653661,1,155
187,2005.0,15.0,264027,1,172
189,2002.0,24.0,873289,1,184
190,1986.0,36.0,2200099,1,204
191,1984.0,42.0,380287,1,180
193,2012.0,43.0,2435998,0,211
194,2016.0,31.0,414124,1,149
195,2019.0,14.0,17280,0,178
196,2012.0,39.0,84342,0,184
197,1996.0,33.0,71062,1,180
198,1989.0,39.0,9784,0,207
199,2011.0,19.0,60767,0,143
200,1995.0,49.0,48678,1,200
201,2014.0,20.0,24924,1,154
203,2016.0,48.0,1144681,1,179
206,1995.0,32.0,672061,0,155
207,1987.0,26.0,49858,1,193
208,1988.0,16.0,302090,1,162
209,1981.0,31.0,1120766,1,200
210,1981.0,33.0,965124,1,208
212,2016.0,35.0,30177,1,165
213,1998.0,29.0,481553,1,155
214,2001.0,64.0,37230,0,184
215,1998.0,47.0,60375,0,170
216,2003.0,24.0,660654,1,155
217,1987.0,16.0,1158224,0,183
218,1981.0,16.0,708869,1,156
219,1991.0,30.0,53577,1,170
220,1993.0,53.0,55899,1,162
221,2005.0,39.0,2630925,1,176
222,2007.0,15.0,90269,1,183
223,1991.0,16.0,283834,0,186
224,2019.0,49.0,103747,1,129
225,2001.0,16.0,328655,0,163
226,1997.0,15.0,30466,1,137
227,2008.0,83.0,90894,1,168
228,1992.0,36.0,1101196,0,150
229,1981.0,21.0,971824,1,200
230,1988.0,15.0,1128893,0,191
234,1982.0,39.0,82787,0,178
235,2016.0,46.0,1225661,1,201
237,2001.0,26.0,30565,0,180
238,2016.0,22.0,405296,0,168
239,1990.0,52.0,195669,1,191
240,1983.0,38.0,510191,0,151
241,2015.0,40.0,771237,0,166
242,1995.0,54.0,63014,1,183
243,2009.0,26.0,955286,0,164
244,2008.0,74.0,1357419,1,182
245,1990.0,52.0,310062,1,180
246,1985.0,30.0,591351,0,197
247,1997.0,17.0,1458241,1,173
248,2012.0,87.0,31260,1,203
249,2013.0,33.0,7034,1,167
250,2019.0,32.0,852638,0,178
251,1996.0,23.0,2065562,1,204
252,2010.0,30.0,319112,0,152
253,2016.0,27.0,38338,1,168
254,1981.0,18.0,985234,0,147
255,2001.0,49.0,1158592,1,201
256,2001.0,83.0,368118,0,172
257,1998.0,20.0,51601,0,210
260,2014.0,90.0,401248,0,201
261,2014.0,33.0,267025,1,161
262,1981.0,47.0,1586562,1,174
263,2006.0,31.0,72170,0,194
265,2006.0,47.0,347253,0,169
267,2014.0,17.0,1264575,0,183
268,2018.0,25.0,1434951,0,174
269,1984.0,26.0,3380491,1,198
271,1982.0,53.0,122763,0,160
272,2013.0,39.0,1026046,0,162
273,2007.0,66.0,909326,0,173
274,1987.0,71.0,49083,0,170
275,1993.0,48.0,143734,0,167
276,1987.0,18.0,1777271,0,182
277,1980.0,37.0,25489,0,164
278,2008.0,67.0,1539049,0,176
280,1996.0,24.0,1568865,1,199
281,1983.0,31.0,832244,0,170
282,1984.0,16.0,47399,0,156
283,1991.0,40.0,2116480,1,160
285,2006.0,35.0,1175318,0,156
286,1987.0,27.0,1151621,0,199
287,1982.0,28.0,11428,0,173
288,2009.0,15.0,1061180,0,179
289,1996.0,45.0,330357,0,170
290,2019.0,20.0,58811,0,179
291,2004.0,27.0,317486,0,153
292,2014.0,19.0,26376,0,152
293,2019.0,19.0,39286,1,178
294,2000.0,33.0,766600,1,159
295,1999.0,29.0,1431644,0,191
296,1984.0,60.0,2054269,1,208
297,1987.0,77.0,1307770,0,157
298,1989.0,39.0,1201311,1,204
302,2016.0,18.0,858509,1,183
303,2010.0,19.0,123586,1,168
304,2009.0,22.0,14228379,0,191
305,1981.0,23.0,867688,1,191
306,1991.0,23.0,757354,1,220
308,1991.0,47.0,1055991,1,182
310,1987.0,49.0,603125,0,160
311,1994.0,43.0,480613,1,159
312,1997.0,64.0,1324412,1,174
313,2014.0,64.0,63014,0,153
314,1985.0,54.0,75825,0,158
316,2011.0,20.0,77004,1,209
317,2001.0,17.0,143033,1,167
318,2019.0,23.0,106203,0,154
319,1995.0,24.0,847333,1,195
321,1998.0,21.0,1929394,0,174
322,1986.0,32.0,36503,1,162
323,1983.0,27.0,97242,0,181
326,1989.0,23.0,84881,0,154
327,2001.0,44.0,49805,0,159
328,2004.0,33.0,214154,0,153
330,1996.0,41.0,4483,0,183
331,1980.0,54.0,2213069,0,172
333,1998.0,35.0,12156,1,191
334,1989.0,19.0,87548,1,169
336,2012.0,33.0,2794348,0,201
337,2018.0,42.0,2032907,1,179
338,1991.0,22.0,50708,1,204
339,1986.0,24.0,1791372,1,176
341,1992.0,15.0,1333119,0,163
342,1985.0,54.0,99444,0,166
343,2006.0,38.0,532760,0,178
344,1983.0,23.0,674891,0,195
345,2017.0,32.0,1313233,1,161
346,1997.0,46.0,137199,0,191
347,1981.0,19.0,2228126,1,180
349,2000.0,66.0,1985112,1,173
350,1991.0,92.0,7713,1,177
351,1983.0,22.0,43768,0,163
352,1981.0,41.0,30221,1,152
354,1981.0,60.0,141855,1,164
357,2003.0,44.0,53441,1,175
358,1982.0,35.0,6844,0,195
359,1989.0,50.0,35308,1,179
360,2011.0,28.0,681741,1,164
361,1981.0,27.0,494625,1,146
362,1997.0,56.0,2348480,1,159
364,2016.0,22.0,8880,1,179
365,1991.0,32.0,919764,0,184
366,2017.0,37.0,810943,0,155
367,2005.0,15.0,1514215,0,152
370,2010.0,51.0,2380310,1,167
371,2001.0,39.0,55210,1,139
373,1994.0,34.0,1260678,1,208
374,2019.0,41.0,79918,0,162
376,2000.0,56.0,230424,0,190
378,1989.0,53.0,69631,0,163
379,2007.0,23.0,2330703,1,178
380,1988.0,23.0,26330,0,165
381,1983.0,22.0,1173939,1,202
382,1994.0,80.0,1422357,1,137
384,2001.0,45.0,26075,0,183
385,1993.0,29.0,54446,0,182
386,2001.0,73.0,1159309,1,185
387,2012.0,36.0,38346,0,195
389,2009.0,31.0,2145105,0,170
391,2007.0,40.0,147362,0,160
393,2000.0,24.0,1675731,0,179
394,1991.0,47.0,19786,1,165
395,1990.0,52.0,620906,1,139
396,2014.0,40.0,1605146,0,183
397,1985.0,18.0,2088388,1,185
398,1985.0,21.0,51721,0,169
399,2009.0,45.0,152460,1,146
400,2017.0,51.0,1026363,0,158
401,2003.0,71.0,53983,1,150
402,2005.0,72.0,1046036,1,165
404,2010.0,26.0,22214,1,174
406,2019.0,57.0,799107,0,167
407,2017.0,43.0,27998,0,208
408,2018.0,40.0,1532819,0,164
410,1986.0,45.0,1717246,0,153
412,2010.0,25.0,1042993,0,165
413,2006.0,36.0,98230,0,169
415,1989.0,44.0,36511,0,137
416,2015.0,55.0,53702,0,151
417,2014.0,15.0,1076453,1,174
418,2014.0,18.0,1200624,0,173
419,1990.0,32.0,380739,0,172
421,1990.0,17.0,12491,1,168
422,2007.0,71.0,1110371,1,191
423,1988.0,50.0,82070,0,142
424,2015.0,23.0,1124316,1,149
425,2011.0,39.0,715454,1,190
426,2014.0,46.0,1201978,0,149
428,2004.0,70.0,1647225,1,210
430,2008.0,27.0,1065433,0,178
431,1980.0,30.0,56062,1,177
432,2009.0,30.0,42767,1,160
434,2017.0,38.0,1154427,0,196
436,2015.0,28.0,409905,1,200
437,2005.0,59.0,4278,0,191
438,1996.0,49.0,2189397,1,167
440,1982.0,50.0,916840,0,171
441,1986.0,19.0,781774,1,164
443,1994.0,62.0,64709,0,138
444,2000.0,25.0,536805,0,196
445,2003.0,42.0,329257,1,193
446,2000.0,35.0,1286124,0,166
448,2019.0,22.0,502624,0,196
450,2006.0,54.0,295727,1,150
451,1990.0,39.0,1240626,0,168
452,1998.0,49.0,1755730,1,168
453,1983.0,51.0,47437,1,190
455,1997.0,24.0,1907751,1,151
456,1987.0,40.0,1029239,1,170
457,1991.0,15.0,213107,1,183
458,1997.0,16.0,159463,1,154
459,2019.0,23.0,2391976,0,177
461,2017.0,32.0,2508288,1,162
463,2016.0,17.0,56121,1,209
464,2001.0,39.0,1509133,1,156
465,1998.0,14.0,686355,1,152
466,1983.0,28.0,1245706,1,158
467,1993.0,28.0,1119599,1,194
468,2017.0,16.0,574247,1,193
469,2019.0,40.0,29769,0,196
470,1991.0,31.0,929558,1,187
471,1985.0,30.0,36473,0,182
473,2007.0,38.0,1466705,0,116
474,1981.0,53.0,545856,1,204
476,2001.0,33.0,1734736,1,148
477,1991.0,61.0,2173682,0,185
478,2019.0,31.0,7595,0,161
479,2001.0,82.0,20779,1,164
480,2018.0,52.0,1204201,0,177
481,2014.0,31.0,1299398,1,181
482,1994.0,60.0,123254,1,182
483,2004.0,49.0,38334,0,148
485,2010.0,15.0,94951,1,185
486,2019.0,54.0,78638,0,191
488,1995.0,44.0,708934,1,146
489,1982.0,27.0,60752,1,202
490,2005.0,83.0,263986,0,174
491,1992.0,27.0,2863433,1,158
492,2007.0,30.0,90844,0,183
493,2009.0,32.0,2785,0,171
496,1993.0,77.0,1055011,1,186
497,1996.0,19.0,75725,1,193
498,1985.0,40.0,1627453,0,162
499,2009.0,48.0,42895,0,191
500,1984.0,27.0,76535,0,184
502,1992.0,43.0,14120,0,152
503,2013.0,15.0,150601,0,168
504,1981.0,57.0,715232,1,174
505,2006.0,27.0,1363878,1,212
506,2015.0,69.0,1098257,0,205
507,2009.0,54.0,2143627,0,206
508,2010.0,29.0,2722743,1,159
509,1993.0,63.0,2157,1,165
510,1996.0,45.0,99044,1,175
511,2019.0,54.0,89821,0,206
513,2013.0,19.0,2174776,1,157
514,1987.0,55.0,1949508,1,177
516,2002.0,17.0,46365,1,179
517,1994.0,36.0,2125352,0,178
520,1990.0,21.0,417591,1,120
523,1993.0,49.0,5119,0,153
525,2017.0,34.0,66337,0,180
527,2004.0,82.0,84296,1,168
528,1999.0,44.0,871138,1,195
529,1990.0,48.0,861219,0,158
530,1994.0,27.0,32049,1,176
531,2002.0,51.0,1740232,1,191
532,1992.0,33.0,841154,0,162
533,1991.0,60.0,198858,1,193
534,2004.0,64.0,76053,0,150
535,2001.0,26.0,23029,0,149
536,2002.0,43.0,168957,1,162
537,2005.0,34.0,2101214,1,201
538,2018.0,18.0,445995,0,161
539,2017.0,21.0,52816,1,184
540,1999.0,29.0,987418,0,179
542,2008.0,17.0,577726,0,192
543,2014.0,42.0,886156,1,153
544,1997.0,47.0,753500,0,136
546,1999.0,43.0,363007,0,175
547,2005.0,45.0,75267,1,208
549,1981.0,46.0,32756,1,157
551,2017.0,60.0,2655495,0,151
552,2001.0,16.0,50202,0,176
553,1981.0,27.0,105524,1,162
554,1994.0,34.0,711962,0,168
555,1997.0,21.0,731772,1,207
556,1989.0,31.0,454241,1,161
558,1999.0,44.0,682038,0,165
560,2001.0,77.0,15093,0,143
561,1989.0,40.0,479752,1,170
562,2018.0,16.0,37904,0,196
563,1983.0,45.0,357123,0,189
566,2008.0,33.0,662974,1,149
567,1988.0,32.0,20914,0,175
568,1981.0,37.0,771903,1,154
569,1991.0,45.0,94834,1,136
570,2004.0,16.0,1197339,1,182
571,2001.0,36.0,35436,1,148
572,1993.0,31.0,788440,1,205
573,1981.0,48.0,548232,1,186
575,1987.0,48.0,273336,0,198
577,2018.0,22.0,702474,0,204
578,1996.0,54.0,58709,1,174
579,2016.0,44.0,1406758,0,197
580,2015.0,50.0,1455253,0,187
581,2000.0,58.0,793985,1,163
583,2009.0,50.0,1637941,1,171
584,1995.0,39.0,1122724,0,161
585,1996.0,49.0,307186,0,202
586,2009.0,44.0,108976,0,198
587,2002.0,18.0,15477,0,190
588,2017.0,34.0,18048,1,150
589,1999.0,54.0,784860,1,192
591,1994.0,54.0,3449,0,169
592,2003.0,18.0,1019344,1,211
593,2016.0,21.0,42474,1,219
595,2017.0,72.0,2840233,1,157
596,2019.0,34.0,781369,1,185
597,2016.0,43.0,6751,0,168
598,2013.0,29.0,72890,0,187
599,1990.0,29.0,1458100,0,184
600,1995.0,24.0,48048,1,142
602,1992.0,33.0,1174965,0,160
603,2000.0,27.0,92054,0,163
604,2017.0,35.0,1699431,1,186
606,1984.0,25.0,216708,0,144
607,1989.0,53.0,566597,0,184
608,1999.0,73.0,509279,0,165
609,2017.0,39.0,2471258,1,162
610,1995.0,23.0,89047,1,153
611,1995.0,30.0,1015453,0,179
612,2016.0,38.0,2899390,0,146
614,1986.0,16.0,1395845,0,168
615,2015.0,26.0,879309,0,149
617,1992.0,34.0,910156,1,173
619,1987.0,22.0,622753,1,189
620,2012.0,18.0,1307586,1,170
622,1993.0,47.0,769400,1,185
623,1990.0,21.0,1009163,0,209
625,1981.0,30.0,69514,1,198
626,2003.0,16.0,1183151,1,188
627,1980.0,47.0,308827,0,192
628,1992.0,21.0,1129358,0,194
629,2006.0,31.0,1095677,0,137
630,1995.0,47.0,202408,1,177
631,2002.0,72.0,412249,1,161
633,2011.0,26.0,2200622,1,187
634,2010.0,37.0,522152,0,179
635,2013.0,60.0,1722456,1,172
637,1981.0,65.0,60445,1,166
639,2000.0,28.0,17353,0,182
640,1988.0,36.0,836649,1,166
644,2007.0,30.0,536396,0,164
645,2006.0,47.0,446398,0,183
647,1983.0,31.0,16183,0,202
648,1980.0,38.0,53328,0,147
650,2002.0,43.0,82820,0,133
653,2000.0,32.0,105721,1,158
654,1991.0,31.0,916538,0,166
656,1988.0,25.0,284143,1,188
657,2017.0,16.0,1418729,1,170
658,1980.0,33.0,586558,0,164
659,2015.0,61.0,126003,1,151
660,1993.0,37.0,376543,0,166
661,2015.0,41.0,1198116,0,169
662,1984.0,58.0,737809,0,182
663,1999.0,30.0,98941,0,211
664,1996.0,44.0,74377,0,150
665,1995.0,55.0,211337,1,120
666,1999.0,35.0,56738,1,156
667,1985.0,34.0,1871025,0,156
668,1980.0,26.0,1364213,1,175
669,1988.0,22.0,1108946,1,188
672,2001.0,15.0,733867,1,170
673,2006.0,52.0,1462031,1,170
674,1981.0,50.0,1014973,1,204
675,2005.0,40.0,860292,1,187
676,1991.0,35.0,20038,1,206
677,1997.0,18.0,1497203,0,143
678,2008.0,15.0,700241,0,173
679,2017.0,34.0,556172,1,178
680,2012.0,94.0,31631,1,193
681,2011.0,68.0,1855031,0,164
682,2017.0,38.0,39734,1,197
683,2013.0,17.0,965052,0,154
684,2002.0,25.0,124204,0,150
685,1993.0,21.0,1724871,0,185
686,1998.0,64.0,77499,1,173
687,1980.0,31.0,1026410,1,180
688,2009.0,66.0,284318,1,187
689,2004.0,28.0,731864,0,173
690,1988.0,30.0,141390,1,192
691,1981.0,29.0,646048,0,173
692,1985.0,23.0,16508,0,163
693,1982.0,60.0,895580,1,191
695,1994.0,87.0,1182649,0,120
696,2010.0,41.0,83067,0,175
697,2015.0,22.0,1324848,1,147
699,1994.0,43.0,485706,0,177
701,1984.0,53.0,79794,0,178
702,2019.0,48.0,1251271,0,176
703,2015.0,21.0,67361,0,154
704,1988.0,30.0,84731,0,162
705,2019.0,43.0,533701,0,201
706,2013.0,20.0,74983,1,156
708,1987.0,31.0,1355595,0,151
710,1996.0,34.0,134118,1,168
712,2011.0,31.0,588894,1,198
713,1990.0,37.0,81747,1,151
715,2013.0,73.0,1034263,1,168
718,1994.0,43.0,58902,1,147
719,2000.0,24.0,800077,1,180
720,2000.0,49.0,9477,1,167
721,1992.0,61.0,9944,0,198
722,2003.0,49.0,68284,1,172
724,1993.0,39.0,85154,1,160
725,2018.0,53.0,9331,0,170
726,2000.0,15.0,990199,0,154
727,1995.0,29.0,16782,1,178
729,1999.0,56.0,301780,0,178
731,1984.0,24.0,991460,0,182
732,1982.0,35.0,1385733,0,147
734,2009.0,39.0,1229372,0,208
735,1993.0,46.0,1233736,0,207
737,1991.0,29.0,1294487,0,192
738,1993.0,26.0,15994,0,164
740,1988.0,31.0,1118403,1,185
741,2005.0,52.0,241995,1,207
742,2010.0,31.0,471102,1,185
744,2012.0,45.0,390743,1,172
746,1990.0,68.0,1204461,0,191
747,2017.0,57.0,49300,0,171
748,1985.0,31.0,81333,1,158
749,2008.0,43.0,1678448,0,203
750,2003.0,38.0,87011,1,182
751,2014.0,20.0,1151605,0,178
752,2009.0,27.0,1372223,1,158
753,2000.0,54.0,256289,1,186
755,1986.0,78.0,1440115,1,162
757,2008.0,39.0,473989,1,210
758,1981.0,18.0,32171,0,171
759,1987.0,34.0,40565,0,151
760,2011.0,44.0,560631,0,184
761,2013.0,47.0,1174176,0,179
762,2009.0,58.0,112550,0,177
763,2003.0,49.0,979844,1,129
764,1991.0,21.0,501288,1,159
765,2008.0,81.0,340799,1,186
766,2003.0,55.0,240190,1,167
767,1984.0,37.0,1033590,0,195
769,2010.0,21.0,625467,1,194
770,1988.0,19.0,3922,0,160
771,1984.0,57.0,1471561,0,210
772,1980.0,30.0,58103,1,151
773,2002.0,64.0,860066,0,139
774,1985.0,44.0,73413,0,182
777,2009.0,64.0,1134816,1,224
779,2008.0,35.0,865972,0,132
781,1983.0,22.0,911389,1,145
782,2017.0,25.0,1468166,0,189
783,2008.0,30.0,99430,0,171
784,1997.0,31.0,990098,1,150
785,1984.0,63.0,12700,1,158
786,2016.0,62.0,365062,1,169
787,2016.0,40.0,1303648,0,179
788,2017.0,67.0,1769236,1,167
789,2003.0,57.0,54663,1,165
790,1981.0,18.0,900843,0,198
791,1991.0,25.0,619374,0,202
792,1994.0,56.0,450295,1,140
793,2012.0,22.0,41496,1,169
794,1990.0,55.0,1383039,0,181
795,2011.0,22.0,676921,1,184
796,1999.0,20.0,500572,0,190
797,2000.0,63.0,85995,1,197
798,2006.0,16.0,222045,1,189
799,1983.0,27.0,276279,1,177
800,1989.0,34.0,316104,1,175
802,1983.0,19.0,345439,0,199
803,2019.0,51.0,60199,1,162
804,2005.0,19.0,4465,0,201
805,2016.0,60.0,429202,1,172
806,1999.0,59.0,1353850,0,176
807,1998.0,29.0,1919830,1,195
808,1998.0,15.0,398474,1,165
809,2008.0,50.0,66195,1,182
811,1995.0,48.0,996444,0,173
814,2007.0,19.0,948569,0,165
815,2011.0,20.0,985142,1,187
817,2000.0,19.0,1301123,1,170
818,1997.0,48.0,335466,0,200
821,1989.0,49.0,99636,1,166
824,2006.0,22.0,27192,0,174
825,2002.0,36.0,9356,1,213
826,1990.0,17.0,1327227,1,205
827,2012.0,24.0,27126,1,152
828,1993.0,16.0,58885,1,200
829,1998.0,29.0,507910,0,172
831,1995.0,15.0,846936,1,181
833,2013.0,42.0,65166,1,179
834,2011.0,25.0,2447390,0,163
836,2011.0,36.0,92474,1,196
837,1982.0,31.0,3173315,1,183
838,1990.0,53.0,192858,0,199
839,1998.0,36.0,240541,0,191
840,2006.0,21.0,1230749,1,144
841,2019.0,27.0,59761,0,165
842,2001.0,30.0,60551,0,183
846,2004.0,52.0,3667162,0,187
847,2007.0,46.0,619500,0,182
848,2000.0,29.0,76003,1,200
849,1990.0,38.0,219080,1,164
850,1989.0,62.0,51044,1,193
851,1991.0,46.0,1069162,0,221
852,2006.0,27.0,2470803,1,200
853,1989.0,36.0,17134,1,170
854,1982.0,27.0,422766,0,145
855,2014.0,37.0,1283763,1,159
856,1985.0,64.0,797934,0,181
857,1987.0,44.0,627761,1,199
858,1982.0,50.0,84500,1,179
859,1986.0,54.0,2204233,1,174
860,1993.0,28.0,73000,0,192
861,2015.0,50.0,1918377,1,158
862,2017.0,33.0,36520,1,123
864,1985.0,50.0,65245,1,177
867,2004.0,25.0,2629913,0,181
869,2007.0,32.0,49618,1,157
870,1981.0,57.0,55435,1,185
871,1986.0,73.0,668800,0,205
872,2007.0,49.0,79536,1,155
873,1992.0,41.0,89509,0,160
874,1992.0,19.0,48738,0,170
876,2006.0,18.0,64116,1,194
878,1990.0,41.0,1279326,1,172
879,2008.0,29.0,44610,1,150
880,2015.0,59.0,28498,1,177
881,1995.0,14.0,29686,1,168
882,1993.0,37.0,81352,1,177
883,1985.0,92.0,46371,0,151
884,2016.0,41.0,26688,1,180
886,2001.0,54.0,493774,0,191
888,1988.0,34.0,1488270,0,178
889,1996.0,29.0,63320,1,171
890,1997.0,40.0,117158,0,160
891,1996.0,31.0,1719643,0,175
894,1990.0,37.0,84873,0,184
895,1993.0,51.0,48571,1,187
896,1984.0,59.0,45698,0,153
897,2001.0,51.0,2508581,0,172
898,1991.0,22.0,130350,0,157
899,2019.0,46.0,713988,0,150
900,2003.0,19.0,79035,0,154
902,1987.0,29.0,2095,0,190
903,2000.0,29.0,680446,1,195
904,2014.0,59.0,498435,0,167
906,2011.0,37.0,959670,1,137
907,1996.0,51.0,604689,1,192
908,1998.0,35.0,96280,0,186
909,1983.0,45.0,1166208,1,138
911,1989.0,60.0,727304,1,142
912,2008.0,15.0,134818,1,174
913,1994.0,67.0,1296328,0,200
914,1985.0,61.0,58603,0,175
915,1996.0,48.0,1054512,0,153
916,2015.0,49.0,742,1,185
918,1992.0,30.0,316121,1,146
919,2004.0,22.0,888634,0,212
920,1997.0,47.0,793328,1,150
921,2007.0,77.0,410470,0,158
924,2012.0,21.0,93421,0,156
925,2016.0,62.0,1466351,1,178
926,2015.0,53.0,611,1,175
927,2005.0,71.0,48162,1,205
929,2001.0,41.0,350525,0,176
930,1988.0,39.0,2816593,0,194
931,1991.0,51.0,31482,1,197
932,1993.0,27.0,1254074,0,160
933,1991.0,66.0,2345689,1,170
935,2011.0,41.0,535814,1,212
936,2015.0,29.0,27019,1,161
938,1987.0,53.0,1637496,0,186
939,1998.0,32.0,595441,1,178
942,1982.0,21.0,135386,0,181
943,2016.0,30.0,1257635,1,161
944,2018.0,41.0,1378314,0,177
946,1993.0,27.0,93662,0,196
948,2000.0,55.0,1767375,1,196
949,1998.0,50.0,424841,0,194
950,1994.0,36.0,138608,0,155
951,2011.0,25.0,1323566,0,191
952,2018.0,21.0,672111,0,163
953,1997.0,61.0,3132290,1,179
955,2017.0,29.0,122882,0,197
956,2008.0,23.0,488104,1,164
957,2011.0,53.0,1882,1,159
958,2017.0,36.0,5760,0,152
959,2009.0,51.0,24892,1,157
960,1986.0,19.0,229267,0,169
961,2015.0,30.0,911008,1,157
962,2016.0,60.0,306026,1,145
964,1991.0,40.0,902812,1,170
965,1986.0,35.0,2945045,1,161
967,1992.0,31.0,2459168,0,133
968,1981.0,29.0,334366,1,199
969,2007.0,19.0,76324,1,208
